ANO;MES;UF;MUNICIPIO;TIPO_REQUERIMENTO;DECISAO;SEXO;CATEGORIA;TOTAL
2025;10;SC;BOCAINA DO SUL                     ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;03;AC;RIO BRANCO                         ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;F;Cidadão                                           ;1
2025;08;MG;BELO HORIZONTE                     ;Requerimento de Porte de Arma de Fogo                    ;Deferido     ;M;Cidadão                                           ;1
2025;05;AC;RIO BRANCO                         ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;2
2025;08;SP;SÃO PAULO                          ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;08;SC;CAMPOS NOVOS                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;11;DF;BRASÍLIA                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;03;PB;SOLEDADE                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;04;MG;NOVA LIMA                          ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;1
2025;03;SC;BOM RETIRO                         ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;09;AL;PALMEIRA DOS ÍNDIOS                ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;03;SC;CAPINZAL                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;09;ES;AFONSO CLÁUDIO                     ;Requerimento de Porte de Arma de Fogo                    ;Deferido     ;M;Cidadão                                           ;1
2025;01;PB;SANTA RITA                         ;Requerimento de Porte de Arma de Fogo                    ;Indeferido   ;M;Cidadão                                           ;1
2025;09;PI;ALTOS                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
