ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;CATEGORIA;TOTAL
2024;01;ES;LINHARES                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.22 LR                                            ;M;Cidadão                                           ;1
2024;01;ES;LINHARES                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;2
2024;01;ES;LINHARES                           ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;1
2024;01;ES;MARECHAL FLORIANO                  ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;Cidadão                                           ;1
2024;01;ES;MARECHAL FLORIANO                  ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;1
2024;01;ES;MARILÂNDIA                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;3
2024;01;ES;MARILÂNDIA                         ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;2
2024;01;ES;MIMOSO DO SUL                      ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;1
2024;01;ES;MUQUI                              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;ES;NOVA VENÉCIA                       ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;4
2024;01;ES;NOVA VENÉCIA                       ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Cidadão                                           ;1
2024;01;ES;PANCAS                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Cidadão                                           ;1
2024;01;ES;PEDRO CANÁRIO                      ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;5
2024;01;ES;PINHEIROS                          ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2024;01;ES;RIO BANANAL                        ;Ativo/Válido;Pistola                                           ;ALFA-PROJ (SPOL S.R.O.)                                               ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;ES;RIO BANANAL                        ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;4
2024;01;ES;SANTA LEOPOLDINA                   ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;ES;SANTA MARIA DE JETIBÁ              ;Ativo/Válido;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38 SPL                                           ;M;Cidadão                                           ;1
2024;01;ES;SANTA MARIA DE JETIBÁ              ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;2
2024;01;ES;SANTA TERESA                       ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
