ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2025;06;SP;SÃO PAULO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Campanha do Desarmamento                                                  ;S;1
2025;06;SP;SÃO PAULO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Campanha do Desarmamento                                                  ;S;1
2025;06;SP;SÃO PAULO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;06;SP;SÃO PAULO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;06;SP;SÃO PAULO                          ;Revolver                                          ;SMITH & WESSON                                                        ;.32                                               ;Apreensão de Arma de Fogo                                                 ;S;1
2025;06;SP;SÃO PAULO                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apostilada no Exercito                                                    ;S;2
2025;06;SP;SÃO PAULO                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreensão de Arma de Fogo                                                 ;S;2
2025;06;SP;SÃO PEDRO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;06;SP;TUPI PAULISTA                      ;Rifle                                             ;ROSSI (AMADEO ROSSI S.A.)                                             ;.22 LR                                            ;Apreensão de Arma de Fogo                                                 ;N;1
2025;06;SP;UBIRAJARA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreensão de Arma de Fogo                                                 ;N;1
2025;06;SP;VOTUPORANGA                        ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;06;SP;VÁRZEA PAULISTA                    ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;06;SP;ÁGUAS DA PRATA                     ;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;06;TO;ALIANÇA DO TOCANTINS               ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreensão de Arma de Fogo                                                 ;N;1
2025;06;TO;GURUPI                             ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Apostilada no Exercito                                                    ;N;1
2025;06;TO;GURUPI                             ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Recuperação de Arma de Fogo                                               ;N;1
2025;06;TO;GURUPI                             ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.40 S&W                                           ;Recuperação de Arma de Fogo                                               ;N;1
2025;06;TO;GURUPI                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Campanha do Desarmamento                                                  ;N;1
2025;06;TO;PALMAS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo                                               ;S;1
2025;06;TO;PALMAS                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.45 ACP                                           ;Apreensão de Arma de Fogo                                                 ;S;1
2025;06;TO;SANTA TEREZA DO TOCANTINS          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Furto de Arma de Fogo                                                     ;N;1
2025;06;  ;                                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;06;  ;                                   ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;07;AC;PLÁCIDO DE CASTRO                  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Roubo de Arma de Fogo                                                     ;N;1
2025;07;AC;RIO BRANCO                         ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;Apreensão de Arma de Fogo                                                 ;S;1
2025;07;AC;RIO BRANCO                         ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;16                                                ;Campanha do Desarmamento                                                  ;S;1
2025;07;AC;RIO BRANCO                         ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;20                                                ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;07;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;S;1
2025;07;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;07;AC;RIO BRANCO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Roubo de Arma de Fogo                                                     ;S;1
